Year,CountryCode,HostCity,HostCountry,HostCountryCode,Awarded.Gold,Awarded.Silver,Awarded.Bronze,Awarded.Total,Population,GDPpC,pre_host2,pre_host,Host,post_host,post_host2,gold_pre1,med_pre1,gold_pre2,med_pre2,gold_pre3,med_pre3,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
1992,GBR,Barcelona,Spain,ESP,260,257,298,815,57.33944702,22394.5632847158,N,N,N,N,N,5,24,5,37,5,21,364,5,3,12,20
1992,GEQ,Barcelona,Spain,ESP,260,257,298,815,0.440623999,1786.14684353586,N,N,N,N,N,0,0,0,0,NA,NA,8,0,0,0,0
1992,GER,Barcelona,Spain,ESP,260,257,298,815,79.56445313,27081.0194155356,N,N,N,N,N,NA,NA,NA,NA,NA,NA,423,33,21,28,82
1992,GHA,Barcelona,Spain,ESP,260,257,298,815,15.03951359,2909.3480602387,N,N,N,N,N,0,0,0,0,NA,NA,18,0,0,1,1
1992,GRE,Barcelona,Spain,ESP,260,257,298,815,10.34189224,17190.0435601522,N,N,N,N,N,0,1,0,2,1,3,58,2,0,0,2
1992,GRN,Barcelona,Spain,ESP,260,257,298,815,0.096454002,4766.26286797307,N,N,N,N,N,0,0,0,0,NA,NA,5,0,0,0,0
1992,GUA,Barcelona,Spain,ESP,260,257,298,815,9.483269691,3736.86877360789,N,N,N,N,N,0,0,0,0,0,0,32,0,0,0,0
1992,GUI,Barcelona,Spain,ESP,260,257,298,815,6.37432909,3026.9827785123,N,N,N,N,N,0,0,0,0,0,0,11,0,0,0,0
1992,GUM,Barcelona,Spain,ESP,260,257,298,815,0.133558,NA,N,N,N,N,N,0,0,NA,NA,NA,NA,33,0,0,0,0
1992,GUY,Barcelona,Spain,ESP,260,257,298,815,0.744474,468.115743464513,N,N,N,N,N,0,0,0,0,0,1,7,0,0,0,0
1992,HAI,Barcelona,Spain,ESP,260,257,298,815,7.243391037,1224.05952567103,N,N,N,N,N,0,0,0,0,NA,NA,8,0,0,0,0
1992,HKG,Barcelona,Spain,ESP,260,257,298,815,5.85408783,25622.632416159,N,N,N,N,N,0,0,0,0,NA,NA,51,0,0,0,0
1992,HON,Barcelona,Spain,ESP,260,257,298,815,5.09995079,2864.44859598341,N,N,N,N,N,0,0,0,0,NA,NA,27,0,0,0,0
1992,HUN,Barcelona,Spain,ESP,260,257,298,815,10.36356354,11340.0642690516,N,N,N,N,N,11,23,NA,NA,7,32,268,11,12,7,30
1992,INA,Barcelona,Spain,ESP,260,257,298,815,185.3929901,3412.97559124918,N,N,N,N,N,0,1,0,0,NA,NA,40,2,2,1,5
1992,IND,Barcelona,Spain,ESP,260,257,298,815,888.0548706,1291.57967933339,N,N,N,N,N,0,0,0,0,1,1,41,0,0,0,0
1992,IOA,Barcelona,Spain,ESP,260,257,298,815,NA,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,68,0,1,2,3
1992,IRI,Barcelona,Spain,ESP,260,257,298,815,57.37558365,3505.35241309044,N,N,N,N,N,0,1,NA,NA,NA,NA,38,0,1,2,3
1992,IRL,Barcelona,Spain,ESP,260,257,298,815,3.576375008,18011.6137194525,N,N,N,N,N,0,0,0,1,0,2,63,1,1,0,2
1992,IRQ,Barcelona,Spain,ESP,260,257,298,815,17.94271469,1584.06954025974,N,N,N,N,N,0,0,0,0,0,0,8,0,0,0,0
1992,ISL,Barcelona,Spain,ESP,260,257,298,815,0.257624,30374.4374825327,N,N,N,N,N,0,0,0,1,0,0,17,0,0,0,0
1992,ISR,Barcelona,Spain,ESP,260,257,298,815,4.643198013,22965.1423009428,N,N,N,N,N,0,0,0,0,NA,NA,42,0,1,1,2
1992,ISV,Barcelona,Spain,ESP,260,257,298,815,0.104807,NA,N,N,N,N,N,0,1,0,0,NA,NA,29,0,0,0,0
1992,ITA,Barcelona,Spain,ESP,260,257,298,815,57.15251541,25946.7779215284,N,N,N,N,N,6,14,14,32,8,15,274,6,5,8,19
1992,IVB,Barcelona,Spain,ESP,260,257,298,815,0.016934,12228.9832171962,N,N,N,N,N,0,0,0,0,NA,NA,2,0,0,0,0
1992,JAM,Barcelona,Spain,ESP,260,257,298,815,2.443689108,4805.383484158,N,N,N,N,N,0,2,0,3,0,3,37,0,3,1,4
1992,JOR,Barcelona,Spain,ESP,260,257,298,815,3.753432989,2868.51356386371,N,N,N,N,N,0,0,0,0,0,0,5,0,0,0,0
1992,JPN,Barcelona,Spain,ESP,260,257,298,815,124.9400177,27763.5725835182,N,N,N,N,N,4,14,10,32,NA,NA,290,3,8,11,22
1992,KEN,Barcelona,Spain,ESP,260,257,298,815,24.17959785,2086.22792872463,N,N,N,N,N,5,9,1,3,NA,NA,51,2,4,2,8
