Year,CountryCode,ISOCode,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
2008,PAR,PRY,7,0,0,0,0
2012,PAR,PRY,10,0,0,0,0
2016,PAR,PRY,11,0,0,0,0
1976,PER,PER,3,0,0,0,0
1980,PER,PER,29,0,0,0,0
1984,PER,PER,32,0,1,0,1
1988,PER,PER,15,0,1,0,1
1992,PER,PER,19,0,1,0,1
1996,PER,PER,23,0,0,0,0
2000,PER,PER,12,0,0,0,0
2004,PER,PER,14,0,0,0,0
2008,PER,PER,13,0,0,0,0
2012,PER,PER,16,0,0,0,0
2016,PER,PER,34,0,0,0,0
1976,PHI,PHL,21,0,0,0,0
1984,PHI,PHL,32,0,0,0,0
1988,PHI,PHL,42,0,0,1,1
1992,PHI,PHL,33,0,0,1,1
1996,PHI,PHL,18,0,1,0,1
2000,PHI,PHL,22,0,0,0,0
2004,PHI,PHL,21,0,0,0,0
2008,PHI,PHL,17,0,0,0,0
2012,PHI,PHL,11,0,0,0,0
2016,PHI,PHL,13,0,1,0,1
1996,PLE,PSE,1,0,0,0,0
2000,PLE,PSE,2,0,0,0,0
2004,PLE,PSE,3,0,0,0,0
2008,PLE,PSE,4,0,0,0,0
2012,PLE,PSE,5,0,0,0,0
2016,PLE,PSE,6,0,0,0,0
2000,PLW,PLW,5,0,0,0,0
2004,PLW,PLW,4,0,0,0,0
2008,PLW,PLW,5,0,0,0,0
2012,PLW,PLW,5,0,0,0,0
2016,PLW,PLW,6,0,0,0,0
1976,PNG,PNG,9,0,0,0,0
1984,PNG,PNG,12,0,0,0,0
1988,PNG,PNG,15,0,0,0,0
1992,PNG,PNG,16,0,0,0,0
1996,PNG,PNG,11,0,0,0,0
2000,PNG,PNG,5,0,0,0,0
2004,PNG,PNG,6,0,0,0,0
2008,PNG,PNG,9,0,0,0,0
2012,PNG,PNG,8,0,0,0,0
2016,PNG,PNG,8,0,0,0,0
1976,POL,POL,189,7,6,13,26
1980,POL,POL,259,3,14,15,32
1988,POL,POL,140,2,5,9,16
1992,POL,POL,193,3,6,10,19
1996,POL,POL,157,7,5,5,17
2000,POL,POL,163,6,5,3,14
2004,POL,POL,161,3,2,5,10
2008,POL,POL,212,3,6,1,10
2012,POL,POL,184,2,2,6,10
2016,POL,POL,198,2,3,6,11
1976,POR,PRT,29,0,2,0,2
1980,POR,PRT,18,0,0,0,0
1984,POR,PRT,45,1,0,2,3
1988,POR,PRT,80,1,0,0,1
1992,POR,PRT,91,0,0,0,0
1996,POR,PRT,98,1,0,1,2
2000,POR,PRT,59,0,0,2,2
2004,POR,PRT,71,0,2,1,3
2008,POR,PRT,83,1,1,0,2
2012,POR,PRT,86,0,1,0,1
2016,POR,PRT,83,0,0,1,1
1976,PRK,PRK,26,1,1,0,2
1980,PRK,PRK,111,0,3,2,5
1992,PRK,PRK,112,4,0,5,9
1996,PRK,PRK,33,2,1,2,5
2000,PRK,PRK,46,0,1,3,4
2004,PRK,PRK,65,0,4,1,5
2008,PRK,PRK,52,2,1,3,6
2012,PRK,PRK,35,4,0,2,6
2016,PRK,PRK,35,2,3,2,7
1976,PUR,PRI,81,0,0,1,1
1980,PUR,PRI,3,0,0,0,0
1984,PUR,PRI,49,0,1,1,2
1988,PUR,PRI,44,0,0,0,0
1992,PUR,PRI,60,0,0,1,1
1996,PUR,PRI,60,0,0,1,1
2000,PUR,PRI,31,0,0,0,0
2004,PUR,PRI,38,0,0,0,0
2008,PUR,PRI,31,0,0,0,0
2012,PUR,PRI,28,0,1,1,2
2016,PUR,PRI,30,1,0,0,1
1984,QAT,QAT,10,0,0,0,0
1988,QAT,QAT,10,0,0,0,0
1992,QAT,QAT,11,0,0,1,1
1996,QAT,QAT,10,0,0,0,0
2000,QAT,QAT,16,0,0,1,1
2004,QAT,QAT,15,0,0,0,0
2008,QAT,QAT,20,0,0,0,0
2012,QAT,QAT,14,0,0,2,2
2016,QAT,QAT,24,0,1,0,1
2016,ROT,NA,12,0,0,0,0
1976,ROU,ROU,167,4,9,14,27
1980,ROU,ROU,223,6,6,13,25
1984,ROU,ROU,134,20,16,17,53
1988,ROU,ROU,127,7,11,6,24
1992,ROU,ROU,215,4,6,8,18
1996,ROU,ROU,209,4,7,9,20
2000,ROU,ROU,178,11,6,9,26
2004,ROU,ROU,154,8,5,6,19
2008,ROU,ROU,131,4,1,3,8
2012,ROU,ROU,109,2,5,2,9
2016,ROU,ROU,79,1,1,2,4
1992,RSA,ZAF,109,0,2,0,2
1996,RSA,ZAF,79,3,1,1,5
2000,RSA,ZAF,87,0,2,3,5
2004,RSA,ZAF,81,1,3,2,6
2008,RSA,ZAF,110,0,1,0,1
2012,RSA,ZAF,78,3,2,1,6
2016,RSA,ZAF,97,2,6,2,10
1996,RUS,RUS,384,26,21,16,63
2000,RUS,RUS,405,32,28,29,89
2004,RUS,RUS,421,28,26,36,90
2008,RUS,RUS,420,23,21,28,72
2012,RUS,RUS,377,24,26,32,82
2016,RUS,RUS,278,19,17,20,56
1984,RWA,RWA,6,0,0,0,0
1988,RWA,RWA,8,0,0,0,0
1992,RWA,RWA,10,0,0,0,0
1996,RWA,RWA,4,0,0,0,0
2000,RWA,RWA,5,0,0,0,0
2004,RWA,RWA,5,0,0,0,0
2008,RWA,RWA,4,0,0,0,0
2012,RWA,RWA,7,0,0,0,0
2016,RWA,RWA,7,0,0,0,0
1984,SAM,WSM,9,0,0,0,0
1988,SAM,WSM,11,0,0,0,0
1992,SAM,WSM,5,0,0,0,0
1996,SAM,WSM,5,0,0,0,0
2000,SAM,WSM,5,0,0,0,0
2004,SAM,WSM,3,0,0,0,0
2008,SAM,WSM,7,0,0,0,0
2012,SAM,WSM,9,0,0,0,0
2016,SAM,WSM,9,0,0,0,0
1996,SCG,SCG,44,1,1,2,4
2000,SCG,SCG,57,1,1,1,3
2004,SCG,SCG,40,0,2,0,2
1976,SEN,SEN,30,0,0,0,0
1980,SEN,SEN,25,0,0,0,0
1984,SEN,SEN,22,0,0,0,0
1988,SEN,SEN,29,0,1,0,1
1992,SEN,SEN,22,0,0,0,0
1996,SEN,SEN,9,0,0,0,0
2000,SEN,SEN,15,0,0,0,0
2004,SEN,SEN,18,0,0,0,0
2008,SEN,SEN,17,0,0,0,0
2012,SEN,SEN,16,0,0,0,0
2016,SEN,SEN,11,0,0,0,0
1980,SEY,SYC,15,0,0,0,0
1984,SEY,SYC,15,0,0,0,0
1992,SEY,SYC,21,0,0,0,0
1996,SEY,SYC,9,0,0,0,0
2000,SEY,SYC,9,0,0,0,0
2004,SEY,SYC,10,0,0,0,0
2008,SEY,SYC,9,0,0,0,0
2012,SEY,SYC,6,0,0,0,0
2016,SEY,SYC,10,0,0,0,0
1976,SGP,SGP,4,0,0,0,0
1984,SGP,SGP,8,0,0,0,0
1988,SGP,SGP,20,0,0,0,0
1992,SGP,SGP,35,0,0,0,0
1996,SGP,SGP,28,0,0,0,0
2000,SGP,SGP,21,0,0,0,0
2004,SGP,SGP,20,0,0,0,0
2008,SGP,SGP,28,0,1,0,1
2012,SGP,SGP,31,0,0,2,2
2016,SGP,SGP,28,1,0,0,1
1996,SKN,KNA,5,0,0,0,0
2000,SKN,KNA,4,0,0,0,0
2004,SKN,KNA,2,0,0,0,0
2008,SKN,KNA,6,0,0,0,0
2012,SKN,KNA,4,0,0,0,0
2016,SKN,KNA,6,0,0,0,0
1980,SLE,SLE,26,0,0,0,0
1984,SLE,SLE,7,0,0,0,0
1988,SLE,SLE,14,0,0,0,0
1992,SLE,SLE,12,0,0,0,0
1996,SLE,SLE,10,0,0,0,0
2000,SLE,SLE,3,0,0,0,0
2004,SLE,SLE,2,0,0,0,0
2008,SLE,SLE,3,0,0,0,0
2012,SLE,SLE,2,0,0,0,0
2016,SLE,SLE,4,0,0,0,0
1992,SLO,SVN,40,0,0,2,2
1996,SLO,SVN,39,0,2,0,2
2000,SLO,SVN,59,2,0,0,2
2004,SLO,SVN,73,0,1,3,4
2008,SLO,SVN,64,1,2,2,5
2012,SLO,SVN,71,1,1,2,4
2016,SLO,SVN,49,1,2,1,4
1976,SMR,SMR,10,0,0,0,0
1980,SMR,SMR,16,0,0,0,0
1984,SMR,SMR,31,0,0,0,0
1988,SMR,SMR,15,0,0,0,0
1992,SMR,SMR,16,0,0,0,0
1996,SMR,SMR,7,0,0,0,0
2000,SMR,SMR,4,0,0,0,0
2004,SMR,SMR,5,0,0,0,0
2008,SMR,SMR,4,0,0,0,0
2012,SMR,SMR,4,0,0,0,0
2016,SMR,SMR,4,0,0,0,0
1984,SOL,SLB,3,0,0,0,0
1988,SOL,SLB,5,0,0,0,0
1992,SOL,SLB,1,0,0,0,0
1996,SOL,SLB,4,0,0,0,0
2000,SOL,SLB,2,0,0,0,0
2004,SOL,SLB,2,0,0,0,0
2008,SOL,SLB,3,0,0,0,0
2012,SOL,SLB,4,0,0,0,0
2016,SOL,SLB,3,0,0,0,0
1984,SOM,SOM,9,0,0,0,0
1988,SOM,SOM,5,0,0,0,0
1996,SOM,SOM,4,0,0,0,0
2000,SOM,SOM,2,0,0,0,0
2004,SOM,SOM,2,0,0,0,0
2008,SOM,SOM,2,0,0,0,0
2012,SOM,SOM,2,0,0,0,0
2016,SOM,SOM,2,0,0,0,0
2008,SRB,SRB,48,0,1,2,3
2012,SRB,SRB,69,1,1,2,4
2016,SRB,SRB,69,2,4,2,8
1980,SRI,LKA,1,0,0,0,0
1984,SRI,LKA,5,0,0,0,0
1988,SRI,LKA,9,0,0,0,0
1992,SRI,LKA,16,0,0,0,0
1996,SRI,LKA,11,0,0,0,0
2000,SRI,LKA,17,0,1,0,1
2004,SRI,LKA,8,0,0,0,0
2008,SRI,LKA,9,0,0,0,0
2012,SRI,LKA,8,0,0,0,0
2016,SRI,LKA,10,0,0,0,0
2016,SSD,SSD,3,0,0,0,0
1996,STP,STP,2,0,0,0,0
2000,STP,STP,2,0,0,0,0
2004,STP,STP,2,0,0,0,0
2008,STP,STP,4,0,0,0,0
2012,STP,STP,2,0,0,0,0
2016,STP,STP,3,0,0,0,0
1984,SUD,SDN,9,0,0,0,0
1988,SUD,SDN,8,0,0,0,0
1992,SUD,SDN,7,0,0,0,0
1996,SUD,SDN,4,0,0,0,0
2000,SUD,SDN,3,0,0,0,0
2004,SUD,SDN,4,0,0,0,0
2008,SUD,SDN,9,0,1,0,1
2012,SUD,SDN,6,0,0,0,0
2016,SUD,SDN,6,0,0,0,0
1976,SUI,CHE,84,1,1,2,4
1980,SUI,CHE,50,2,0,0,2
1984,SUI,CHE,180,0,4,4,8
1988,SUI,CHE,124,0,2,2,4
1992,SUI,CHE,141,1,0,0,1
1996,SUI,CHE,125,4,3,0,7
2000,SUI,CHE,111,1,6,2,9
2004,SUI,CHE,112,1,1,3,5
2008,SUI,CHE,100,2,1,4,7
2012,SUI,CHE,91,2,2,0,4
2016,SUI,CHE,118,3,2,2,7
1976,SUR,SUR,4,0,0,0,0
1984,SUR,SUR,7,0,0,0,0
1988,SUR,SUR,10,1,0,0,1
1992,SUR,SUR,9,0,0,1,1
1996,SUR,SUR,11,0,0,0,0
2000,SUR,SUR,5,0,0,0,0
2004,SUR,SUR,4,0,0,0,0
2008,SUR,SUR,4,0,0,0,0
2012,SUR,SUR,5,0,0,0,0
2016,SUR,SUR,6,0,0,0,0
1996,SVK,SVK,89,1,1,1,3
2000,SVK,SVK,76,1,3,1,5
2004,SVK,SVK,70,2,2,2,6
2008,SVK,SVK,61,3,2,1,6
2012,SVK,SVK,57,0,1,3,4
2016,SVK,SVK,56,2,2,0,4
1976,SWE,SWE,126,4,1,0,5
1980,SWE,SWE,135,3,3,6,12
1984,SWE,SWE,184,2,11,6,19
1988,SWE,SWE,154,0,4,7,11
1992,SWE,SWE,164,1,7,4,12
1996,SWE,SWE,142,2,4,2,8
2000,SWE,SWE,125,4,5,3,12
2004,SWE,SWE,109,4,2,1,7
2008,SWE,SWE,109,0,4,1,5
2012,SWE,SWE,100,1,4,3,8
2016,SWE,SWE,104,2,6,3,11
1984,SWZ,SWZ,11,0,0,0,0
1988,SWZ,SWZ,15,0,0,0,0
1992,SWZ,SWZ,10,0,0,0,0
1996,SWZ,SWZ,6,0,0,0,0
2000,SWZ,SWZ,6,0,0,0,0
2004,SWZ,SWZ,3,0,0,0,0
2008,SWZ,SWZ,4,0,0,0,0
2012,SWZ,SWZ,3,0,0,0,0
2016,SWZ,SWZ,2,0,0,0,0
1980,SYR,SYR,57,0,0,0,0
1984,SYR,SYR,9,0,1,0,1
1988,SYR,SYR,13,0,0,0,0
1992,SYR,SYR,9,0,0,0,0
1996,SYR,SYR,8,1,0,0,1
2000,SYR,SYR,8,0,0,0,0
2004,SYR,SYR,6,0,0,1,1
2008,SYR,SYR,7,0,0,0,0
2012,SYR,SYR,10,0,0,0,0
2016,SYR,SYR,7,0,0,0,0
1980,TAN,TZA,33,0,2,0,2
1984,TAN,TZA,21,0,0,0,0
1988,TAN,TZA,10,0,0,0,0
1992,TAN,TZA,9,0,0,0,0
1996,TAN,TZA,7,0,0,0,0
2000,TAN,TZA,4,0,0,0,0
2004,TAN,TZA,9,0,0,0,0
2008,TAN,TZA,9,0,0,0,0
2012,TAN,TZA,6,0,0,0,0
2016,TAN,TZA,7,0,0,0,0
1976,TCH,CSK,155,2,2,4,8
1980,TCH,CSK,200,2,3,9,14
1988,TCH,CSK,153,3,3,2,8
1992,TCH,CSK,178,4,2,1,7
1984,TGA,TON,7,0,0,0,0
1988,TGA,TON,7,0,0,0,0
1992,TGA,TON,5,0,0,0,0
1996,TGA,TON,5,0,1,0,1
2000,TGA,TON,3,0,0,0,0
2004,TGA,TON,5,0,0,0,0
2008,TGA,TON,3,0,0,0,0
2012,TGA,TON,3,0,0,0,0
2016,TGA,TON,7,0,0,0,0
1976,THA,THA,48,0,0,1,1
1984,THA,THA,34,0,1,0,1
1988,THA,THA,12,0,0,1,1
1992,THA,THA,49,0,0,1,1
1996,THA,THA,46,1,0,1,2
2000,THA,THA,55,1,0,2,3
2004,THA,THA,47,3,1,4,8
2008,THA,THA,46,2,2,0,4
2012,THA,THA,41,0,2,1,3
2016,THA,THA,55,2,2,2,6
1996,TJK,TJK,8,0,0,0,0
2000,TJK,TJK,4,0,0,0,0
2004,TJK,TJK,9,0,0,0,0
2008,TJK,TJK,16,0,1,1,2
2012,TJK,TJK,16,0,0,1,1
2016,TJK,TJK,7,1,0,0,1
1996,TKM,TKM,7,0,0,0,0
2000,TKM,TKM,8,0,0,0,0
2004,TKM,TKM,10,0,0,0,0
2008,TKM,TKM,10,0,0,0,0
2012,TKM,TKM,10,0,0,0,0
2016,TKM,TKM,9,0,0,0,0
2004,TLS,TLS,2,0,0,0,0
2008,TLS,TLS,1,0,0,0,0
2012,TLS,TLS,2,0,0,0,0
2016,TLS,TLS,3,0,0,0,0
1984,TOG,TGO,6,0,0,0,0
1988,TOG,TGO,6,0,0,0,0
1992,TOG,TGO,6,0,0,0,0
1996,TOG,TGO,4,0,0,0,0
2000,TOG,TGO,3,0,0,0,0
2004,TOG,TGO,3,0,0,0,0
2008,TOG,TGO,4,0,0,1,1
2012,TOG,TGO,6,0,0,0,0
2016,TOG,TGO,5,0,0,0,0
1984,TPE,TWN,51,0,0,1,1
1988,TPE,TWN,104,0,0,0,0
1992,TPE,TWN,17,0,1,0,1
1996,TPE,TWN,74,0,1,0,1
2000,TPE,TWN,68,0,1,4,5
2004,TPE,TWN,59,2,2,1,5
2008,TPE,TWN,48,0,0,4,4
2012,TPE,TWN,47,0,1,1,2
2016,TPE,TWN,57,1,0,2,3
1976,TTO,TTO,14,1,0,0,1
1980,TTO,TTO,9,0,0,0,0
1984,TTO,TTO,17,0,0,0,0
1988,TTO,TTO,10,0,0,0,0
1992,TTO,TTO,10,0,0,0,0
1996,TTO,TTO,16,0,0,2,2
2000,TTO,TTO,22,0,1,1,2
2004,TTO,TTO,20,0,0,1,1
2008,TTO,TTO,25,1,1,0,2
2012,TTO,TTO,29,1,1,2,4
2016,TTO,TTO,34,0,0,1,1
1976,TUN,TUN,5,0,0,0,0
1984,TUN,TUN,17,0,0,0,0
1988,TUN,TUN,15,0,0,0,0
1992,TUN,TUN,14,0,0,0,0
1996,TUN,TUN,25,0,0,1,1
2000,TUN,TUN,34,0,0,0,0
2004,TUN,TUN,38,0,0,0,0
2008,TUN,TUN,29,1,0,0,1
2012,TUN,TUN,51,1,1,1,3
2016,TUN,TUN,48,0,0,3,3
1976,TUR,TUR,28,0,0,0,0
1984,TUR,TUR,55,0,0,3,3
1988,TUR,TUR,47,1,1,0,2
1992,TUR,TUR,50,2,2,2,6
1996,TUR,TUR,58,4,1,1,6
2000,TUR,TUR,63,3,0,2,5
2004,TUR,TUR,71,3,3,5,11
2008,TUR,TUR,70,1,3,3,7
2012,TUR,TUR,93,2,2,1,5
2016,TUR,TUR,104,1,3,4,8
2008,TUV,TUV,3,0,0,0,0
2012,TUV,TUV,3,0,0,0,0
2016,TUV,TUV,1,0,0,0,0
1984,UAE,ARE,8,0,0,0,0
1988,UAE,ARE,24,0,0,0,0
1992,UAE,ARE,24,0,0,0,0
1996,UAE,ARE,4,0,0,0,0
2000,UAE,ARE,5,0,0,0,0
2004,UAE,ARE,5,1,0,0,1
2008,UAE,ARE,9,0,0,0,0
2012,UAE,ARE,9,0,0,0,0
2016,UAE,ARE,12,0,0,1,1
1980,UGA,UGA,13,0,1,0,1
1984,UGA,UGA,27,0,0,0,0
1988,UGA,UGA,24,0,0,0,0
1992,UGA,UGA,9,0,0,0,0
1996,UGA,UGA,11,0,0,1,1
2000,UGA,UGA,13,0,0,0,0
2004,UGA,UGA,11,0,0,0,0
2008,UGA,UGA,11,0,0,0,0
2012,UGA,UGA,16,1,0,0,1
2016,UGA,UGA,23,0,0,0,0
1996,UKR,UKR,257,9,2,12,23
2000,UKR,UKR,296,3,10,10,23
2004,UKR,UKR,273,8,6,9,23
2008,UKR,UKR,272,7,5,15,27
2012,UKR,UKR,252,6,5,9,20
2016,UKR,UKR,220,2,5,4,11
1976,URS,SUN,359,49,41,35,125
1980,URS,SUN,401,80,69,46,195
1988,URS,SUN,397,55,31,46,132
1976,URU,URY,12,0,0,0,0
1984,URU,URY,11,0,0,0,0
1988,URU,URY,15,0,0,0,0
1992,URU,URY,16,0,0,0,0
1996,URU,URY,15,0,0,0,0
2000,URU,URY,17,0,1,0,1
2004,URU,URY,16,0,0,0,0
2008,URU,URY,12,0,0,0,0
2012,URU,URY,11,0,0,0,0
2016,URU,URY,16,0,0,0,0
1976,USA,USA,391,34,35,25,94
1984,USA,USA,424,83,61,30,174
1988,USA,USA,452,36,31,27,94
1992,USA,USA,479,37,34,37,108
1996,USA,USA,501,44,32,25,101
2000,USA,USA,483,37,24,33,94
2004,USA,USA,471,36,39,26,101
2008,USA,USA,466,36,39,35,110
2012,USA,USA,444,46,28,29,103
2016,USA,USA,450,46,37,38,121
1996,UZB,UZB,78,0,1,1,2
2000,UZB,UZB,73,1,1,2,4
2004,UZB,UZB,73,2,1,2,5
2008,UZB,UZB,69,1,2,3,6
2012,UZB,UZB,56,1,0,2,3
2016,UZB,UZB,75,4,2,7,13
1988,VAN,VUT,6,0,0,0,0
1992,VAN,VUT,8,0,0,0,0
1996,VAN,VUT,4,0,0,0,0
2000,VAN,VUT,3,0,0,0,0
2004,VAN,VUT,2,0,0,0,0
2008,VAN,VUT,3,0,0,0,0
2012,VAN,VUT,5,0,0,0,0
2016,VAN,VUT,4,0,0,0,0
1976,VEN,VEN,41,0,1,0,1
1980,VEN,VEN,25,0,1,0,1
1984,VEN,VEN,34,0,0,3,3
1988,VEN,VEN,17,0,0,0,0
1992,VEN,VEN,18,0,0,0,0
1996,VEN,VEN,44,0,0,0,0
2000,VEN,VEN,55,0,0,0,0
2004,VEN,VEN,52,0,0,2,2
2008,VEN,VEN,88,0,0,1,1
2012,VEN,VEN,74,1,0,0,1
2016,VEN,VEN,85,0,1,2,3
1980,VIE,VNM,35,0,0,0,0
1988,VIE,VNM,12,0,0,0,0
1992,VIE,VNM,10,0,0,0,0
1996,VIE,VNM,6,0,0,0,0
2000,VIE,VNM,7,0,1,0,1
2004,VIE,VNM,10,0,0,0,0
2008,VIE,VNM,18,0,1,0,1
2012,VIE,VNM,23,0,0,0,0
2016,VIE,VNM,27,1,1,0,2
1988,VIN,VCT,6,0,0,0,0
1992,VIN,VCT,5,0,0,0,0
1996,VIN,VCT,6,0,0,0,0
2000,VIN,VCT,4,0,0,0,0
2004,VIN,VCT,3,0,0,0,0
2008,VIN,VCT,2,0,0,0,0
2012,VIN,VCT,3,0,0,0,0
2016,VIN,VCT,4,0,0,0,0
1984,YAR,YEM,3,0,0,0,0
1988,YAR,YEM,8,0,0,0,0
1992,YEM,YEM,8,0,0,0,0
1996,YEM,YEM,4,0,0,0,0
2000,YEM,YEM,2,0,0,0,0
2004,YEM,YEM,3,0,0,0,0
2008,YEM,YEM,8,0,0,0,0
2012,YEM,YEM,4,0,0,0,0
2016,YEM,YEM,3,0,0,0,0
1988,YMD,YMD,5,0,0,0,0
1976,YUG,YUG,57,2,3,3,8
1976,YUG,YUG,57,2,3,3,8
1980,YUG,YUG,77,2,3,4,9
1980,YUG,YUG,77,2,3,4,9
1984,YUG,YUG,67,7,4,7,18
1984,YUG,YUG,67,7,4,7,18
1988,YUG,YUG,88,3,4,5,12
1988,YUG,YUG,88,3,4,5,12
1980,ZAM,ZMB,27,0,0,0,0
1984,ZAM,ZMB,18,0,0,1,1
1988,ZAM,ZMB,13,0,0,0,0
1992,ZAM,ZMB,11,0,0,0,0
1996,ZAM,ZMB,8,0,1,0,1
2000,ZAM,ZMB,8,0,0,0,0
2004,ZAM,ZMB,6,0,0,0,0
2008,ZAM,ZMB,8,0,0,0,0
2012,ZAM,ZMB,7,0,0,0,0
2016,ZAM,ZMB,7,0,0,0,0
1980,ZIM,ZWE,37,1,0,0,1
1984,ZIM,ZWE,20,0,0,0,0
1988,ZIM,ZWE,44,0,0,0,0
1992,ZIM,ZWE,26,0,0,0,0
1996,ZIM,ZWE,17,0,0,0,0
2000,ZIM,ZWE,22,0,0,0,0
2004,ZIM,ZWE,13,1,1,1,3
2008,ZIM,ZWE,16,1,3,0,4
2012,ZIM,ZWE,9,0,0,0,0
2016,ZIM,ZWE,15,0,0,0,0
