Year,CountryCode,ISOCode,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
2000,BIH,BIH,11,0,0,0,0
2004,BIH,BIH,11,0,0,0,0
2008,BIH,BIH,7,0,0,0,0
2012,BIH,BIH,8,0,0,0,0
2016,BIH,BIH,11,0,0,0,0
1976,BIZ,BLZ,4,0,0,0,0
1984,BIZ,BLZ,10,0,0,0,0
1988,BIZ,BLZ,10,0,0,0,0
1992,BIZ,BLZ,12,0,0,0,0
1996,BIZ,BLZ,5,0,0,0,0
2000,BIZ,BLZ,2,0,0,0,0
2004,BIZ,BLZ,2,0,0,0,0
2008,BIZ,BLZ,4,0,0,0,0
2012,BIZ,BLZ,3,0,0,0,0
2016,BIZ,BLZ,3,0,0,0,0
1996,BLR,BLR,217,1,6,8,15
2000,BLR,BLR,187,3,3,11,17
2004,BLR,BLR,159,2,5,6,13
2008,BLR,BLR,186,4,5,9,18
2012,BLR,BLR,140,2,5,5,12
2016,BLR,BLR,118,1,4,4,9
1976,BOL,BOL,5,0,0,0,0
1984,BOL,BOL,13,0,0,0,0
1988,BOL,BOL,12,0,0,0,0
1992,BOL,BOL,18,0,0,0,0
1996,BOL,BOL,9,0,0,0,0
2000,BOL,BOL,5,0,0,0,0
2004,BOL,BOL,11,0,0,0,0
2008,BOL,BOL,7,0,0,0,0
2012,BOL,BOL,5,0,0,0,0
2016,BOL,BOL,12,0,0,0,0
1980,BOT,BWA,8,0,0,0,0
1984,BOT,BWA,8,0,0,0,0
1988,BOT,BWA,8,0,0,0,0
1992,BOT,BWA,6,0,0,0,0
1996,BOT,BWA,4,0,0,0,0
2000,BOT,BWA,5,0,0,0,0
2004,BOT,BWA,8,0,0,0,0
2008,BOT,BWA,11,0,0,0,0
2012,BOT,BWA,4,0,1,0,1
2016,BOT,BWA,11,0,0,0,0
1976,BRA,BRA,54,0,0,2,2
1980,BRA,BRA,88,2,0,2,4
1984,BRA,BRA,100,1,5,2,8
1988,BRA,BRA,141,1,2,3,6
1992,BRA,BRA,140,2,1,0,3
1996,BRA,BRA,127,3,3,9,15
2000,BRA,BRA,121,0,6,6,12
2004,BRA,BRA,186,5,2,3,10
2008,BRA,BRA,193,3,4,9,16
2012,BRA,BRA,179,3,5,9,17
2016,BRA,BRA,317,8,6,6,20
1984,BRN,BHR,12,0,0,0,0
1988,BRN,BHR,11,0,0,0,0
1992,BRN,BHR,12,0,0,0,0
1996,BRN,BHR,3,0,0,0,0
2000,BRN,BHR,4,0,0,0,0
2004,BRN,BHR,10,0,0,0,0
2008,BRN,BHR,15,0,0,0,0
2012,BRN,BHR,14,0,0,1,1
2016,BRN,BHR,33,1,1,0,2
1996,BRU,BRN,1,0,0,0,0
2000,BRU,BRN,2,0,0,0,0
2004,BRU,BRN,1,0,0,0,0
2012,BRU,BRN,3,0,0,0,0
2016,BRU,BRN,3,0,0,0,0
1976,BUL,BGR,188,6,9,7,22
1980,BUL,BGR,261,8,16,17,41
1988,BUL,BGR,198,10,12,13,35
1992,BUL,BGR,202,3,7,6,16
1996,BUL,BGR,143,3,7,5,15
2000,BUL,BGR,129,5,6,2,13
2004,BUL,BGR,104,2,1,9,12
2008,BUL,BGR,68,1,1,3,5
2012,BUL,BGR,59,0,1,1,2
2016,BUL,BGR,52,0,1,2,3
1988,BUR,BFA,9,0,0,0,0
1992,BUR,BFA,4,0,0,0,0
1996,BUR,BFA,5,0,0,0,0
2000,BUR,BFA,4,0,0,0,0
2004,BUR,BFA,5,0,0,0,0
2008,BUR,BFA,6,0,0,0,0
2012,BUR,BFA,5,0,0,0,0
2016,BUR,BFA,5,0,0,0,0
1984,CAF,CAF,3,0,0,0,0
1988,CAF,CAF,4,0,0,0,0
1992,CAF,CAF,18,0,0,0,0
1996,CAF,CAF,5,0,0,0,0
2000,CAF,CAF,3,0,0,0,0
2004,CAF,CAF,4,0,0,0,0
2008,CAF,CAF,3,0,0,0,0
2012,CAF,CAF,6,0,0,0,0
2016,CAF,CAF,6,0,0,0,0
1996,CAM,KHM,5,0,0,0,0
2000,CAM,KHM,4,0,0,0,0
2004,CAM,KHM,4,0,0,0,0
2008,CAM,KHM,4,0,0,0,0
2012,CAM,KHM,6,0,0,0,0
2016,CAM,KHM,6,0,0,0,0
1976,CAN,CAN,317,0,5,6,11
1984,CAN,CAN,351,10,18,16,44
1988,CAN,CAN,341,3,2,5,10
1992,CAN,CAN,320,7,4,7,18
1996,CAN,CAN,273,3,11,8,22
2000,CAN,CAN,259,3,3,8,14
2004,CAN,CAN,247,3,6,3,12
2008,CAN,CAN,271,3,9,7,19
2012,CAN,CAN,238,1,5,12,18
2016,CAN,CAN,260,4,3,15,22
1976,CAY,CYM,1,0,0,0,0
1984,CAY,CYM,10,0,0,0,0
1988,CAY,CYM,9,0,0,0,0
1992,CAY,CYM,9,0,0,0,0
1996,CAY,CYM,7,0,0,0,0
2000,CAY,CYM,4,0,0,0,0
2004,CAY,CYM,8,0,0,0,0
2008,CAY,CYM,6,0,0,0,0
2012,CAY,CYM,7,0,0,0,0
2016,CAY,CYM,5,0,0,0,0
1980,CGO,COG,9,0,0,0,0
1984,CGO,COG,10,0,0,0,0
1988,CGO,COG,7,0,0,0,0
1992,CGO,COG,7,0,0,0,0
1996,CGO,COG,5,0,0,0,0
2000,CGO,COG,5,0,0,0,0
2004,CGO,COG,5,0,0,0,0
2008,CGO,COG,5,0,0,0,0
2012,CGO,COG,7,0,0,0,0
2016,CGO,COG,10,0,0,0,0
1984,CHA,TCD,3,0,0,0,0
1988,CHA,TCD,6,0,0,0,0
1992,CHA,TCD,7,0,0,0,0
1996,CHA,TCD,4,0,0,0,0
2000,CHA,TCD,3,0,0,0,0
2004,CHA,TCD,1,0,0,0,0
2008,CHA,TCD,2,0,0,0,0
2012,CHA,TCD,2,0,0,0,0
2016,CHA,TCD,2,0,0,0,0
1976,CHI,CHL,9,0,0,0,0
1984,CHI,CHL,33,0,0,0,0
1988,CHI,CHL,17,0,1,0,1
