OlympicYear,ISOCode,Country,Population,GDPpC
2016,CIV,Côte d'Ivoire,23.10847282,3299.69068462223
1992,CMR,Cameroon,12.06072903,2276.08870008748
1996,CMR,Cameroon,13.46099377,2302.26736372674
2000,CMR,Cameroon,14.89189053,2537.61145731441
2004,CMR,Cameroon,16.51382256,2605.88231305302
2008,CMR,Cameroon,18.39538956,2661.27102284644
2012,CMR,Cameroon,20.52044678,2771.54434012767
2016,CMR,Cameroon,22.83452225,3048.42156266265
1992,COD,D.R. of the Congo,35.91482544,1052.1409074681
1996,COD,D.R. of the Congo,41.59574509,758.458595265903
2000,COD,D.R. of the Congo,45.89866638,577.015165119052
2004,COD,D.R. of the Congo,51.39003372,520.704607547006
2008,COD,D.R. of the Congo,58.41756058,618.258682858544
2012,COD,D.R. of the Congo,66.71360016,675.569182773961
2016,COD,D.R. of the Congo,76.19661713,844.143907993465
1992,COG,Congo,2.507771969,2450.73392316875
1996,COG,Congo,2.799254894,1479.91617586505
2000,COG,Congo,3.136343956,1545.46283666599
2004,COG,Congo,3.502518892,2202.64344915345
2008,COG,Congo,3.976246119,2833.56753400204
2012,COG,Congo,4.512730122,5527.94221138669
2016,COG,Congo,4.995647907,3742.82853157049
1992,COL,Colombia,34.91676712,6805.60348222754
1996,COL,Colombia,37.44197845,7604.22473882386
2000,COL,Colombia,39.81927872,6874.14589362004
2004,COL,Colombia,42.1521492,7027.44935719671
2008,COL,Colombia,44.37457275,9024.03899764871
2012,COL,Colombia,46.40664673,11583.9750419304
2016,COL,Colombia,48.22869873,12509.2997714392
1992,COM,Comoros,0.423871994,3272.71712836966
1996,COM,Comoros,0.475394011,3146.14619324685
2000,COM,Comoros,0.528847992,2742.64492432827
2004,COM,Comoros,0.583211005,2789.78690396969
2008,COM,Comoros,0.64161998,2297.0301439179
2012,COM,Comoros,0.706569016,2469.20976506561
2016,COM,Comoros,0.777423978,2814.99024976047
1992,CPV,Cabo Verde,0.349934012,2022.30057277199
1996,CPV,Cabo Verde,0.389126986,2414.93811560013
2000,CPV,Cabo Verde,0.426284999,3340.03430179348
2004,CPV,Cabo Verde,0.460146993,3904.98597477524
2008,CPV,Cabo Verde,0.486438006,5006.97012971474
2012,CPV,Cabo Verde,0.508067012,5975.95633506708
2016,CPV,Cabo Verde,0.532913029,6135.576692759
1992,CRI,Costa Rica,3.175648928,7346.58101035531
1996,CRI,Costa Rica,3.510926008,8860.11133220099
2000,CRI,Costa Rica,3.848722935,9654.22203871893
2004,CRI,Costa Rica,4.12597084,10207.4432692791
2008,CRI,Costa Rica,4.369469166,11622.5618835274
2012,CRI,Costa Rica,4.600473881,13320.6403068806
2016,CRI,Costa Rica,4.807851791,15158.8540180106
1992,CUW,Curaçao,NA,NA
1996,CUW,Curaçao,NA,NA
2000,CUW,Curaçao,NA,NA
2004,CUW,Curaçao,NA,NA
2008,CUW,Curaçao,0.135498002,29692.5918140107
2012,CUW,Curaçao,0.150592998,27348.4258876366
2016,CUW,Curaçao,0.158010006,25739.0323622923
1992,CYM,Cayman Islands,0.026213,57814.577881204
1996,CYM,Cayman Islands,0.031672001,57231.5495632878
2000,CYM,Cayman Islands,0.039808001,67981.6814715213
2004,CYM,Cayman Islands,0.046027999,61949.7195826393
2008,CYM,Cayman Islands,0.051483002,64219.0921578349
2012,CYM,Cayman Islands,0.056579001,53180.6656678155
2016,CYM,Cayman Islands,0.059962999,54311.2556962002
1992,CYP,Cyprus,0.594900012,20136.8119152097
1996,CYP,Cyprus,0.650699973,23219.1783877637
2000,CYP,Cyprus,0.686399996,25254.6860591765
2004,CYP,Cyprus,0.717836022,27344.6035144779
2008,CYP,Cyprus,0.76712501,34802.5903887555
2012,CYP,Cyprus,0.85088098,33334.5796141782
2016,CYP,Cyprus,0.84700799,30849.1800059643
1992,CZE,Czech Republic,10.34675026,18528.8612542582
1996,CZE,Czech Republic,10.35845566,19831.1822382218
2000,CZE,Czech Republic,10.30664539,20059.3547635386
2004,CZE,Czech Republic,10.23927689,22211.5935278707
2008,CZE,Czech Republic,10.35658646,27911.0817465236
2012,CZE,Czech Republic,10.5687151,29232.1278771154
2016,CZE,Czech Republic,10.60376167,32849.0797266287
1992,DEU,Germany,79.56445313,27081.0194155356
1996,DEU,Germany,81.24060059,29964.7926322648
2000,DEU,Germany,81.48161316,34203.2563165813
2004,DEU,Germany,81.68649292,34568.1782760028
2008,DEU,Germany,81.34445953,39135.4004734144
2012,DEU,Germany,80.93398285,42547.121477786
2016,DEU,Germany,81.70778656,45995.227728269
1992,DJI,Djibouti,0.606844008,2216.18995041638
1996,DJI,Djibouti,0.630388021,2677.70385186301
2000,DJI,Djibouti,0.700098991,2502.63628790175
2004,DJI,Djibouti,0.758615017,2420.60750558541
2008,DJI,Djibouti,0.809401989,2829.76356758125
2012,DJI,Djibouti,0.865936995,2403.7590702543
2016,DJI,Djibouti,0.927414,2909.89882404191
1992,DMA,Dominica,0.070841998,7255.33750473836
1996,DMA,Dominica,0.071368001,8335.86044115205
2000,DMA,Dominica,0.069903001,8922.1394972728
2004,DMA,Dominica,0.070092998,7938.83210702444
2008,DMA,Dominica,0.070950001,9243.71535667773
2012,DMA,Dominica,0.071718,10087.5042165147
2016,DMA,Dominica,0.073161997,9961.24290866473
1992,DNK,Denmark,5.15490818,25824.7840604602
1996,DNK,Denmark,5.232704163,28257.5960715553
2000,DNK,Denmark,5.321774006,33525.471806741
2004,DNK,Denmark,5.386968136,34175.2096823615
2008,DNK,Denmark,5.469956875,41254.7899474984
2012,DNK,Denmark,5.582872868,43851.8823889507
2016,DNK,Denmark,5.688694954,45765.618073252
1992,DOM,Dominican Republic,7.325622082,4511.59477107189
1996,DOM,Dominican Republic,7.892423153,5675.64126145125
2000,DOM,Dominican Republic,8.429112434,7454.46405205704
2004,DOM,Dominican Republic,8.967760086,7666.42456875379
2008,DOM,Dominican Republic,9.50435257,10017.1185631848
2012,DOM,Dominican Republic,10.02709484,11247.7322594069
2016,DOM,Dominican Republic,10.52839375,13567.5907352914
1992,DZA,Algeria,26.55432892,8286.47788701112
1996,DZA,Algeria,28.90429878,7035.57058926859
2000,DZA,Algeria,30.76561356,7734.68139473049
2004,DZA,Algeria,32.40351486,9797.17887616837
2008,DZA,Algeria,34.30007553,12400.205930392
2012,DZA,Algeria,36.81955719,13422.7425644931
2016,DZA,Algeria,39.87152863,11697.4015626047
1992,ECU,Ecuador,10.46098995,5808.46602285475
1996,ECU,Ecuador,11.44058323,5182.49297243214
2000,ECU,Ecuador,12.39869118,4987.69441969439
2004,ECU,Ecuador,13.28960133,5995.54643525187
2008,ECU,Ecuador,14.20545292,8057.2701584794
2012,ECU,Ecuador,15.17735481,9833.57599320695
2016,ECU,Ecuador,16.14436722,10318.3792111488
1992,EGY,Egypt,58.75239182,2280.83028194919
1996,EGY,Egypt,63.71438599,3657.96337795015
2000,EGY,Egypt,68.62666321,4559.93866469091
2004,EGY,Egypt,73.98194122,4968.18962085623
2008,EGY,Egypt,79.53725433,6364.81417499794
2012,EGY,Egypt,85.89756012,9641.79379883415
2016,EGY,Egypt,93.77817535,10002.0346845019
1992,ESP,Spain,39.40319824,18110.5127724272
1996,ESP,Spain,39.89049911,20313.7578014626
2000,ESP,Spain,40.53972244,25101.7459358807
2004,ESP,Spain,42.65340424,27689.3403010592
2008,ESP,Spain,45.39385986,34771.5363898998
2012,ESP,Spain,46.90913773,32448.5339884332
2016,ESP,Spain,46.39766312,34268.420391945
1992,EST,Estonia,1.548215032,11472.7015387873
1996,EST,Estonia,1.433024049,9409.89747479109
2000,EST,Estonia,1.403789043,10772.3441106813
2004,EST,Estonia,1.37290895,14623.4817538337
2008,EST,Estonia,1.344071984,23205.4526850401
2012,EST,Estonia,1.328449011,25226.378093935
2016,EST,Estonia,1.315320969,28071.6949932545
